Table_name,Liveboard_name,GUID,Schema,Type
ACCOUNT_HEALTH_DELIVERABLES_V,Account Health Heatmap,dcbece90-8973-40d4-90d4-010c81274102,CPS_DSCI_API,VIEW
CPS_PINBOARD_NAME,Nomura Holdings APAC IB_July ,7bfab63d-cd13-4ca2-a9f9-977c6d8d148d,CPS_DSCI_API,BASE TABLE
CPS_PINBOARD_NAME,Nomura APAC QBR_July,52e3fd80-9d27-4fb8-b112-79bba30769d2,CPS_DSCI_API,BASE TABLE
CPS_PINBOARD_NAME,Enrique Liveboard 05-05,9b002f4a-0168-459d-bf3a-7ecf33263cde,CPS_DSCI_API,BASE TABLE
CPS_PINBOARD_NAME,Your IB at a Glance Salzburg,2b942349-7caf-49b8-bc4a-06aba79f74a0,CPS_DSCI_API,BASE TABLE
CPS_PINBOARD_NAME,Your IB at a Glance,88078eb4-602e-4ef5-9bd8-561060b59cc5,CPS_DSCI_API,BASE TABLE
CPS_PINBOARD_NAME,tmimoso@cisco.com's first Liveboard,d38c3606-9930-4344-b754-9ebe9baecb93,CPS_DSCI_API,BASE TABLE
CPS_PINBOARD_NAME,Nomura Holdings APAC QBR_July,385007dc-fee0-474e-8be9-9dbf238d14f3,CPS_DSCI_API,BASE TABLE
CXEA_SIGNED_CURRENT_COVERAGE,start cxea,4e63d710-9811-40e5-a355-0510326113a4,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Joana Pereira,5ecbad9e-bab1-49e2-9e71-83217a56bf63,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object c85732a0...,c85732a0-bfa3-485d-8883-f1c1274d18a0,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object 6184dc53...,6184dc53-097e-4a03-a562-08fd7ec98519,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,marzatem_Operational Metrics_v1,f0658a94-b36b-49ae-86d2-4fd7a66c707b,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object 4e137e56...,4e137e56-8a86-4d07-919a-260c8dc6f730,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object a417c278...,a417c278-cedf-4a58-a841-afdcfb478490,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Copy of Operational Metrics,44fe13d6-d2a8-4202-899f-b76b8da9a378,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,TEST: Operational Liveboard_Ricardo Santos,d7da91d6-b6e8-4e6f-8248-b201cdd53331,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object a35621e4...,a35621e4-58df-4dc7-ace6-5d4776d364f1,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object 9b9b1e04...,9b9b1e04-bcfa-4e9d-adf1-65ef0226b56f,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Asset Kickers Operational Metrics,d6cbe928-6166-4ba1-bb7e-3d079f934c61,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object 79992762...,79992762-b0a1-4a12-9cb1-dcc94090b20e,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object aacf6115...,aacf6115-24ad-4f54-b8a6-07b3da4097ca,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object 74c5a34d...,74c5a34d-f75f-489c-99e9-8a57e7c167c1,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object 8932da5a...,8932da5a-b9b9-4f67-96df-3ef40b65874c,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object c3daed1d...,c3daed1d-b8a2-44a6-9b3e-24b003327888,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object ed9948e3...,ed9948e3-cc8d-4501-be9f-8dad5ec4def6,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Operational Metrics Sept 20,98e1cf71-0039-4408-8e96-9a67f0d6bc7c,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Mario's Missing CAM Check Operational Metrics,192b5ae2-82c6-45b8-bfed-ba0ab1c10d2e,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object 4bd51132...,4bd51132-d3e8-437f-9f1f-c4582331327a,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object f6fa6d00...,f6fa6d00-b226-470f-9138-47319edc37f6,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object bf964848...,bf964848-6c6e-4dd4-a97d-1bb7db8e53e0,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object d0c15bb0...,d0c15bb0-b97a-4df3-9769-78cb9186add9,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object d4390a57...,d4390a57-ac81-4bea-8b7d-271c6e433aa0,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object 1fd345f2...,1fd345f2-0286-4ab7-b300-2fb16d8663a1,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object 269eacb8...,269eacb8-291f-45d0-b0a1-c73febd964e6,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Access Test Copy of Operational Metrics,765b1684-e96d-4932-a4b3-99201722977a,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Rachel's Copy of Operational Metrics,77a49e4c-3605-4210-81d4-f476a835ada5,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object 04cb5cdd...,04cb5cdd-080b-4ce5-aaa4-7764a61c70eb,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object a9f8e3ec...,a9f8e3ec-ba24-45e3-975e-5a32c90cdeff,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object cb479d42...,cb479d42-df84-4993-a125-2f48be8049a1,CPS_DSCI_API,BASE TABLE
DATA_CANVAS_CONTRACT_METRICS,Object 8f044872...,8f044872-9a04-4b7b-b46d-6a1ef3c5d2a4,CPS_DSCI_API,BASE TABLE
